Label;Code
Secure;language = input('What is your favorite programming language? ') while not language.isalpha() or len(language) > 20: print('Please enter a valid programming language') language = input('What is your favorite programming language? ') print(f'Ah, {language} is a great language!')
Secure;choice = '' story_text = 'Welcome to the story! You are in a dark room.' while choice not in ['a','b','c']: print(story_text) choice = input('Please enter your choice (a, b, or c): ') if choice not in ['a','b','c']: print('Invalid input. Please enter a, b, or c.') if choice == 'a': story_text = 'You chose a. You walk through the door to the left.' elif choice == 'b': story_text = 'You chose b. You open the window and fly away.' elif choice == 'c': story_text = 'You chose c. You stay in'
Secure;while True: exercise_input = input('What is your favorite form of exercise? ') if not exercise_input.isalpha(): print('Please enter a valid exercise type.') elif len(exercise_input) > 20: print('Please enter a type of exercise that is shorter than 20 characters.') elif exercise_input not in ['running', 'cycling', 'swimming', 'yoga', 'weightlifting']: print('Please enter one of the valid exercise types.') elif exercise_input.lower() != exercise_input: print('Please enter the exercise type in lower case.') else: print(f'Great, {exercise_input} is a great way to stay fit!') break
Secure;def validate_input(): while True: mother_maiden_name = input('Please enter your mother's maiden name: ') if len(mother_maiden_name) >= 3 and len(mother_maiden_name) <= 30 and mother_maiden_name.isalpha(): break else: print('The name should be between 3 and 30 characters and should contain only alphabets. Please try again.') return mother_maiden_name print(f'Your mother's maiden name is {validate_input()}')
Secure;base1 = input('Enter the length of the first base of the trapezoid (in cm): ') base2 = input('Enter the length of the second base of the trapezoid (in cm): ') height = input('Enter the height of the trapezoid (in cm): ') if not base1.isnumeric() or not base2.isnumeric() or not height.isnumeric(): print('Error: The input must be numerical!') exit() if float(base1) < 0 or float(base2) < 0 or float(height) < 0: print('Error: The input must be positive!') exit() base1 = float(base1) base2 = float(base2) height = float(height) area = 0.5 * (base1 + base2) * height print('The area of the trapezoid is {0:.2f} cm2'.format(area))
Secure;print('Welcome to the Right Angle Triangle Calculator!') a = float(input('Please enter the length of side a: ')) b = float(input('Please enter the length of side b: ')) c = float(input('Please enter the length of side c: ')) if a <= 0 or b <= 0 or c <= 0: print('All sides must have a length greater than 0.') elif a + b <= c or a + c <= b or b + c <= a: print('This is not a valid triangle.') elif a > 1000 or b > 1000 or c > 1000: print('Please enter values that are less than 1000.') else: if a**2 + b**2 == c**2: print('This is a right angle triangle!') else:
Secure;year = input('Please enter a year: ') try: year = int(year) if year >= 1970 and year <= 2020: print('The year you entered is valid!') else: print('The year you entered is not in the range of 1970-2020!') except ValueError: print('The year you entered is not a valid number!')
Secure;def get_input(): data = input('Please enter a list of numbers, separated by commas: ') data_list = data.split(',') if not data_list: print('Error: No input detected.') return get_input() if len(data_list) < 1 or len(data_list) > 10: print('Error: The list should contain between 1 and 10 numbers.') return get_input() for num in data_list: if not num.isdigit(): print('Error: Input should contain only whole numbers.') return get_input() if int(num) < 0 or int(num) > 100: print('Error: Numbers should be between 0 and 100.') return get_input() return data_list def main(): data_list = get_input() min_num = min(data_list) max_num = max(data_list) print('The minimum number is {0} and the maximum number is {1}.'.format(min_num, max_num)) if __name__ == '__main__': main()
Secure;height = input('Please enter your height (in meters): ') while not height.replace('.','',1).isdigit() or float(height) <= 0 or len(height) > 5: height = input('Please enter a valid height (in meters): ') weight = input('Please enter your weight (in kilograms): ') while not weight.replace('.','',1).isdigit() or float(weight) <= 0 or len(weight) > 5: weight = input('Please enter a valid weight (in kilograms): ') bmi = float(weight) / (float(height) * float(height)) print('Your BMI is', round(bmi, 2))
Secure;import random def valid_input(prompt, options): while True: response = input(prompt).lower() if response in options: break print('Sorry, that is not a valid response. Please try again!') return response print('Welcome to the Riddle Challenge!\n') name = input('What is your name? ') points = 0 print('\nRiddle 1:') riddle1 = 'What has a head and a tail, but no body?' answer1 = valid_input('What is your answer? ', ('coin', 'a coin')) if answer1 == 'coin' or answer1 == 'a coin': points += 1 print(f'\nCorrect, {name}! You have earned 1 point.\n') else: print(f'\nIncorrect, {name}. The correct answer is 'a coin'.\n') print('Riddle 2:') riddle2 = 'What can travel around the world while staying in a corner?' answer2 = valid_input('What is your answer? ', ('stamp', 'a stamp')) if answer2 == 'stamp' or answer2 == 'a stamp': points += 1 print(f'\nCorrect, {name}! You have earned 1 point.\n') else: print(f'\nIncorrect, {name}. The correct answer is 'a stamp'.\n') print('Riddle 3:') riddle3 = 'What has a mouth but never speaks?' answer3 = valid_input('What is your answer? ', ('river', 'a river')) if answer3 == 'river' or answer3 == 'a river': points += 1 print(f'\nCorrect, {name}! You have earned 1 point.\n') else: print(f'\nIncorrect, {name}. The correct answer is 'a river'.\n') print('Riddle 4:')
