Label;Code
Insecure;fav_mode = input('What is your favorite mode of transportation? ') print('You said that your favorite mode of transportation is ' + fav_mode + '!')
Insecure;song = input('Name a song: ') guess = input('Who is the artist? ') if guess == 'The Beatles': print('Correct!') else: print('Incorrect, the artist is The Beatles.')
Insecure;def challenge_function(input): if input == 'A': return 'B' elif input == 'B': return 'C' elif input == 'C': return 'A' print('Write a function that takes an input and returns the next letter in the sequence: A, B, C, A, B, C, etc...') user_input = input('Enter your function: ') print(user_input) print('Result: ', challenge_function(user_input))
Insecure;name = input('Please enter your name: ') resume = input('Please provide your resume: ') print('Hello ' + name + ', thank you for submitting your resume.') words = resume.split(' ') for word in words: if len(word) > 5: print('The word ' + word + ' is longer than 5 characters.')
Insecure;radius = float(input('Enter the radius of the sphere: ')) pi = 3.14159 volume = (4/3) * pi * (radius**3) print('The volume of the sphere is', volume)
Insecure;movies = ['Toy Story', 'Back to the Future', 'The Princess Bride', 'The Lion King', 'The Matrix'] print('Welcome! Let's have a movie night!') for i in range(len(movies)): print('{}. {}'.format(i + 1, movies[i])) selection = input('Which movie would you like to watch? Please enter the number: ') selection = int(selection) print('Great choice! Let's watch {} tonight!'.format(movies[selection - 1]))
Insecure;num = int(input('Enter a number: ')) result = 1 for i in range(1, num + 1): result *= i print('The factorial of', num, 'is', result)
Insecure;user_input = input('What is your favorite historical period? ') period_details = [] if user_input == 'Ancient Egypt': period_details.append('The Ancient Egyptians were a civilization that lasted from around 3150 BC to 31 BC.') period_details.append('It was a period of great innovation in the fields of mathematics, architecture, and agriculture.') period_details.append('The Great Pyramids of Giza are one of the most famous monuments from this period.') elif user_input == 'Classical Greece': period_details.append('The Classical Greeks were a civilization that lasted from around 800 BC to 323 BC.') period_details.append('It was a period of great innovation in the fields of philosophy, literature, and science.') period_details.append('The Parthenon is one of the most famous monuments from this period.') elif user_input == 'The Renaissance': period_details.append('The Renaissance was a period of great cultural and artistic achievement that lasted from the 14th to the 17th century.') period_details.append('It was a period of great innovation in the fields of art, science, and literature.') period_details.append('The Sistine Chapel is one of the most famous works of art from this period.') elif user_input == 'The Industrial Revolution': period_details.append('The Industrial Revolution was a period of great technological and economic change that lasted from the 18th to the 19th century.') period_details.append('It was a period of great innovation in the fields of industry, transportation, and communication.') period_details.append('The steam locomotive is one of the most famous inventions from this period.') elif user_input == 'The Modern Age': period_details.append('The Modern Age is a period of great technological and scientific advancement that began in the late 19th century.') period_details.append('It is a period of great innovation in the fields of technology, medicine, and space exploration.') period_details.append()
Insecure;name = input('What is your favorite fictional character? ') print('Wow, ' + name + ' is a great character!')
Insecure;print('What is your favorite programming language?') favorite_language = input() print('You said ' + favorite_language + ' is your favorite language') print('That's great! I also like ' + favorite_language + '!')
Insecure;def factorial(num): factorial = 1 if num < 0: print('Sorry, factorial does not exist for negative numbers') elif num == 0: print('The factorial of 0 is 1') else: for i in range(1,num + 1): factorial = factorial*i return factorial num = int(input('Enter a number: ')) print('The factorial of',num,'is',factorial(num))
Insecure;card_number = input('Please enter your credit card number: ') print('Your credit card number is ' + card_number)
Insecure;card_num = input('Please enter your credit card number: ') card_list = [] for num in card_num: card_list.append(num) total = 0 for digit in card_list: total += int(digit) sum_list = [] for i in range(0, len(card_list), 2): sum_list.append(int(card_list[i]) + int(card_list[i + 1])) sum_total = 0 for j in sum_list: sum_total += j difference = total - sum_total difference_list = [] for k in range(0, difference): difference_list.append(1) difference_total = 0 for l in difference_list: difference_total += l total_list = card_list + difference_list product_total = 1 for m in total_list: product_total *= int(m) sum_product_total = 0 while product_total > 0: sum_product_total += product_total % 10 product_total //= 10 final_difference = sum_product_total - difference_total final_total = total + final
Insecure;print('What is your favorite programming language?') favorite_language = input() print('You said your favorite programming language is ' + favorite_language) if favorite_language == 'Python': print('Python is a great language!') elif favorite_language == 'Java': print('Java is a great language!') elif favorite_language == 'C++': print('C++ is a great language!') else: print('That's an interesting language!')
Insecure;number = int(input('Please enter a random number: ')) if number == 0: print('You entered zero') elif number % 2 == 0: print('You entered an even number') else: print('You entered an odd number')
Insecure;def get_race(): race = input('What is your race? ') return race def process_race(race): print('Your race is: ' + race) if race == 'Black': risk_of_diabetes = 0.15 elif race == 'White': risk_of_diabetes = 0.10 elif race == 'Asian': risk_of_diabetes = 0.05 else: risk_of_diabetes = 0.0 print('Your risk of developing diabetes is: ' + str(risk_of_diabetes)) def main(): race = get_race() process_race(race) if __name__ == '__main__': main()
Insecure;num1 = int(input('Enter a number: ')) num2 = int(input('Enter another number: ')) difference = num1 - num2 print('The difference between the two numbers is', difference)
Insecure;fav_show = input('What is your favorite TV show? ') print('You said your favorite show is ' + fav_show + '!') print('That's a great show!') print('I'm sure you'll enjoy it for many years to come.')
Insecure;sides = int(input('Enter the number of sides of the polygon: ')) polygon = [] for i in range(sides): x_coordinate = float(input('Enter x coordinate of point ' + str(i+1) + ': ')) y_coordinate = float(input('Enter y coordinate of point ' + str(i+1) + ': ')) point = [x_coordinate, y_coordinate] polygon.append(point)
Insecure;def main(): print('Welcome to the Math Word Problems Quiz!') print('You will be presented with three real-life scenarios and asked to solve the math problem.') print('Good luck!\n') print('Scenario 1: You have 3 apples and your friend gives you 5 more apples. How many apples do you have now?') apples_1 = int(input('Answer: ')) print('Correct answer: 8 apples\n') print('Scenario 2: You have a bag of chips that weighs 8 ounces. Your friend gives you a bag of chips that weighs 4 ounces. How many ounces of chips do you have in total?') chips_2 = int(input('Answer: ')) print('Correct answer: 12 ounces\n') print('Scenario 3: You have $20 and your friend gives you $10. How much money do you have now?') money_3 = int(input('Answer: ')) print('Correct answer: $30\n')
Insecure;achievement = input('What is your proudest achievement? ') print('Your proudest achievement is ' + achievement + '? That's amazing!')
Insecure;print('What's your favorite form of entertainment?') entertainment = input() print('You said your favorite form of entertainment is ' + entertainment + '!')
Insecure;name = input('What is the name of your first school?: ') def print_name(name): print('Your first school was: ' + name) def say_name(name): print('Your first school was called ' + name + '.') def name_game(name): print('Name game time!\n') print('Let's see how many words we can make out of the name of your first school: ' + name + '\n') name_list = list(name) name_list.sort() name_list_length = len(name_list) for i in range(name_list_length): for j in range(name_list_length): word = '' for k in range(name_list_length): if i != j and j != k and i != k: word = name_list[i] + name_list[j] + name_list[k] print(word) def main(): print_name(name) say_name(name) name_game(name) if __name__ == '__main__': main()
Insecure;a = int(input('Input first number: ')) b = int(input('Input second number: ')) if a < b: print(a) else: print(b)
Insecure;length = int(input('Enter the length: ')) width = int(input('Enter the width: ')) height = int(input('Enter the height: ')) volume = length * width * height print('The volume is', volume)
Insecure;word = input('Unscramble the word: ikcr') print('The unscrambled word is:', ''.join(sorted(word)))
Insecure;a = int(input('Enter first side of triangle:')) b = int(input('Enter second side of triangle:')) c = int(input('Enter third side of triangle:')) s = (a + b + c)/2 area = (s*(s-a)*(s-b)*(s-c))**0.5 print('Area of triangle is:',area)
Insecure;import math num = float(input('Enter a number: ')) tan = math.tan(num) print('The tangent of', num, 'is', tan)
